"MMM YYYY","XCD/USD","EGP/USD","EUR/USD","FJD/USD","FIM/USD","FRF/USD","XAF/USD","XPF/USD","DEM/USD","GHS/USD","XAU/USD","GRD/USD","HNL/USD","HKD/USD","HUF/USD","ISK/USD","INR/USD","IDR/USD","IEP/USD","ILS/USD"
"Jan 1971",,,,,,5.5192,,,3.6370,,,,,,,,,,,
"Feb 1971",,,,,,5.5182,,,3.6312,,,,,,,,,,,
"Mar 1971",,,,,,5.5159,,,3.6313,,,,,,,,,,,
"Apr 1971",,,,,,5.5169,,,3.6342,,,,,,,,,,,
"May 1971",,,,,,5.5267,,,3.5534,,,,,,,,,,,
"Jun 1971",,,,,,5.5274,,,3.5121,,,,,,,,,,,
"Jul 1971",,,,,,5.5141,,,3.4810,,,,,,,,,,,
"Aug 1971",,,,,,5.5157,,,3.4159,,,,,,,,,,,
"Sep 1971",,,,,,5.5213,,,3.3567,,,,,,,,,,,
"Oct 1971",,,,,,5.5332,,,3.3262,,,,,,,,,,,
"Nov 1971",,,,,,5.5263,,,3.3329,,,,,,,,,,,
"Dec 1971",,,,,,5.3948,,,3.2688,,,,,,,,,,,
"Jan 1972",,,,,,5.1739,,,3.2306,,,,,,,,,,,
"Feb 1972",,,,,,5.0891,,,3.1859,,,,,,,,,,,
"Mar 1972",,,,,,5.0416,,,3.1746,,,,,,,,,,,
"Apr 1972",,,,,,5.0407,,,3.1779,,,,,,,,,,,
"May 1972",,,,,,5.0140,,,3.1792,,,,,,,,,,,
"Jun 1972",,,,,,5.0157,,,3.1686,,,,,,,,,,,
"Jul 1972",,,,,,5.0025,,,3.1612,,,,,,,,,,,
"Aug 1972",,,,,,5.0037,,,3.1866,,,,,,,,,,,
"Sep 1972",,,,,,5.0058,,,3.1931,,,,,,,,,,,
"Oct 1972",,,,,,5.0236,,,3.2068,,,,,,,,,,,
"Nov 1972",,,,,,5.0405,,,3.2036,,,,,,,,,,,
"Dec 1972",,,,,,5.0873,,,3.1988,,,,,,,,,,,
"Jan 1973",,,,,,5.0837,,,3.1962,,,,,,,,,,,
"Feb 1973",,,,,,4.7731,,,3.0055,,,,,,,,,,,
"Mar 1973",,,,,,4.5156,,,2.8133,,,,,,,,,,,
"Apr 1973",,,,,,4.5539,,,2.8368,,,,,,,,,,,
"May 1973",,,,,,4.4772,,,2.7909,,,,,,,,,,,
"Jun 1973",,,,,,4.2610,,,2.5796,,,,,,,,,,,
"Jul 1973",,,,,,4.0570,,,2.3360,,,,,,,,,,,
"Aug 1973",,,,,,4.2523,,,2.4271,,,,,,,,,,,
"Sep 1973",,,,,,4.2617,,,2.4246,,,,,,,,,,,
"Oct 1973",,,,,,4.2164,,,2.4140,,,,,,,,,,,
"Nov 1973",,,,,,4.4099,,,2.5811,,,,,,,,,,,
"Dec 1973",,,,,,4.5971,,,2.6577,,,,,,,,,,,
"Jan 1974",,,,,,5.0281,,,2.8151,,,,,,,,,,,
"Feb 1974",,,,,,4.9550,,,2.7147,,,,,,,,,,,
"Mar 1974",,,,,,4.8215,,,2.6182,,,,,,,,,,,
"Apr 1974",,,,,,4.8685,,,2.5262,,,,,,,,,,,
"May 1974",,,,,,4.8689,,,2.4616,,,,,,,,,,,
"Jun 1974",,,,,,4.9001,,,2.5253,,,,,,,,,,,
"Jul 1974",,,,,,4.7662,,,2.5528,,,,,,,,,,,
"Aug 1974",,,,,,4.7825,,,2.6184,,,,,,,,,,,
"Sep 1974",,,,,,4.8006,,,2.6610,,,,,,,,,,,
"Oct 1974",,,,,,4.7326,,,2.5928,,,,,,,,,,,
"Nov 1974",,,,,,4.6765,,,2.5110,,,,,,,,,,,
"Dec 1974",,,,,,4.5240,,,2.4503,,,,,,,,,,,
"Jan 1975",,,,,,4.3688,,,2.3649,,,,,,,,,,,
"Feb 1975",,,,,,4.2764,,,2.3271,,,,,,,,,,,
"Mar 1975",,,,,,4.2010,,,2.3193,,,,,,,,,,,
"Apr 1975",,,,,,4.2010,,,2.3758,,,,,,,,,,,
"May 1975",,,,,,4.0565,,,2.3505,,,,,,,,,,,
"Jun 1975",,,,,,4.0048,,,2.3405,,,,,,,,,,,
"Jul 1975",,,,,,4.2289,,,2.4727,,,,,,,,,,,
"Aug 1975",,,,,,4.3768,,,2.5736,,,,,,,,,,,
"Sep 1975",,,,,,4.4743,,,2.6189,,,,,,,,,,,
"Oct 1975",,,,,,4.4068,,,2.5817,,,,,,,,,,,
