"MMM YYYY","ITL/USD","JMD/USD","JPY/USD","JOD/USD","KWD/USD","LBP/USD","LUF/USD","MYR/USD","MTL/USD","MXN/USD","MAD/USD","NZD/USD","NOK/USD","PKR/USD","PAB/USD","PEN/USD","PHP/USD","XPT/USD","PLN/USD","PTE/USD"
"Jan 1971",623.26,,358.023,,,,,,,,,,,,,,,,,
"Feb 1971",623.59,,357.540,,,,,,,,,,,,,,,,,
"Mar 1971",622.56,,357.517,,,,,,,,,,,,,,,,,
"Apr 1971",622.27,,357.498,,,,,,,,,,,,,,,,,
"May 1971",622.71,,357.407,,,,,,,,,,,,,,,,,
"Jun 1971",624.65,,357.411,,,,,,,,,,,,,,,,,
"Jul 1971",623.16,,357.408,,,,,,,,,,,,,,,,,
"Aug 1971",618.96,,355.779,,,,,,,,,,,,,,,,,
"Sep 1971",613.81,,338.022,,,,,,,,,,,,,,,,,
"Oct 1971",612.31,,331.112,,,,,,,,,,,,,,,,,
"Nov 1971",612.60,,328.759,,,,,,,,,,,,,,,,,
"Dec 1971",600.58,,320.074,,,,,,,,,,,,,,,,,
"Jan 1972",590.95,,312.725,,,,,,,,,,,,,,,,,
"Feb 1972",587.01,,305.195,,,,,,,,,,,,,,,,,
"Mar 1972",582.73,,302.539,,,,,,,,,,,,,,,,,
"Apr 1972",583.50,,303.561,,,,,,,,,,,,,,,,,
"May 1972",582.23,,304.376,,,,,,,,,,,,,,,,,
"Jun 1972",583.43,,302.411,,,,,,,,,,,,,,,,,
"Jul 1972",581.11,,301.029,,,,,,,,,,,,,,,,,
"Aug 1972",581.31,,301.165,,,,,,,,,,,,,,,,,
"Sep 1972",581.44,,301.117,,,,,,,,,,,,,,,,,
"Oct 1972",583.28,,301.012,,,,,,,,,,,,,,,,,
"Nov 1972",584.50,,300.987,,,,,,,,,,,,,,,,,
"Dec 1972",583.24,,301.245,,,,,,,,,,,,,,,,,
"Jan 1973",585.44,,301.788,,,,,,,,,,,,,,,,,
"Feb 1973",574.07,,278.420,,,,,,,,,,,,,,,,,
"Mar 1973",568.18,,261.904,,,,,,,,,,,,,,,,,
"Apr 1973",589.24,,265.492,,,,,,,,,,,,,,,,,
"May 1973",589.62,,264.651,,,,,,,,,,,,,,,,,
"Jun 1973",595.71,,264.498,,,,,,,,,,,,,,,,,
"Jul 1973",581.43,,264.554,,,,,,,,,,,,,,,,,
"Aug 1973",574.02,,265.225,,,,,,,,,,,,,,,,,
"Sep 1973",565.25,,265.473,,,,,,,,,,,,,,,,,
"Oct 1973",566.41,,266.339,,,,,,,,,,,,,,,,,
"Nov 1973",591.80,,278.263,,,,,,,,,,,,,,,,,
"Dec 1973",607.60,,280.178,,,,,,,,,,,,,,,,,
"Jan 1974",648.57,,298.133,,,,,,,,,,,,,,,,,
"Feb 1974",654.71,,291.087,,,,,,,,,,,,,,,,,
"Mar 1974",637.66,,282.164,,,,,,,,,,,,,,,,,
"Apr 1974",636.15,,277.776,,,,,,,,,,,,,,,,,
"May 1974",632.67,,278.964,,,,,,,,,,,,,,,,,
"Jun 1974",650.28,,282.969,,,,,,,,,,,,,,,,,
"Jul 1974",644.24,,290.980,,,,,,,,,,,,,,,,,
"Aug 1974",654.95,,302.284,,,,,,,,,,,,,,,,,
"Sep 1974",662.11,,299.080,,,,,,,,,,,,,,,,,
"Oct 1974",667.04,,299.365,,,,,,,,,,,,,,,,,
"Nov 1974",666.87,,300.073,,,,,,,,,,,,,,,,,
"Dec 1974",658.87,,300.410,,,,,,,,,,,,,,,,,
"Jan 1975",645.03,,299.687,,,,,,,,,,,,,,,,,
"Feb 1975",637.90,,291.660,,,,,,,,,,,,,,,,,
"Mar 1975",631.23,,287.950,,,,,,,,,,,,,,,,,
"Apr 1975",634.25,,292.198,,,,,,,,,,,,,,,,,
"May 1975",627.50,,291.431,,,,,,,,,,,,,,,,,
"Jun 1975",625.69,,293.465,,,,,,,,,,,,,,,,,
"Jul 1975",650.07,,296.376,,,,,,,,,,,,,,,,,
"Aug 1975",668.31,,297.977,,,,,,,,,,,,,,,,,
"Sep 1975",678.54,,299.911,,,,,,,,,,,,,,,,,
"Oct 1975",678.20,,302.336,,,,,,,,,,,,,,,,,
"Nov 1975",679.34,,302.545,,,,,,,,,,,,,,,,,
"Dec 1975",682.85,,305.671,,,,,,,,,,,,,,,,,
"Jan 1976",702.95,,304.637,,,,,,,,,,,,,,,,,
"Feb 1976",768.21,,301.600,,,,,,,,,,,,,,,,,
"Mar 1976",826.51,,300.520,,,,,,,,,,,,,,,,,
"Apr 1976",879.75,,299.111,,,,,,,,,,,,,,,,,
"May 1976",857.16,,299.005,,,,,,,,,,,,,,,,,
"Jun 1976",848.97,,299.192,,,,,,,,,,,,,,,,,
"Jul 1976",837.29,,294.640,,,,,,,,,,,,,,,,,
"Aug 1976",837.81,,290.623,,,,,,,,,,,,,,,,,
"Sep 1976",844.87,,287.361,,,,,,,,,,,,,,,,,
"Oct 1976",856.12,,291.190,,,,,,,,,,,,,,,,,
"Nov 1976",865.53,,295.166,,,,,,,,,,,,,,,,,
"Dec 1976",867.97,,294.701,,,,,,,,,,,,,,,,,
"Jan 1977",879.37,,291.052,,,,,,,,,,,,,,,,,
"Feb 1977",882.85,,285.021,,,,,,,,,,,,,,,,,
"Mar 1977",886.84,,280.228,,,,,,,,,,,,,,,,,
"Apr 1977",887.76,,275.208,,,,,,,,,,,,,,,,,
"May 1977",886.61,,277.429,,,,,,,,,,,,,,,,,
"Jun 1977",885.31,,272.859,,,,,,,,,,,,,,,,,
"Jul 1977",882.61,,264.863,,,,,,,,,,,,,,,,,
"Aug 1977",882.49,,266.679,,,,,,,,,,,,,,,,,
"Sep 1977",883.56,,266.768,,,,,,,,,,,,,,,,,
"Oct 1977",880.84,,254.744,,,,,,,,,,,,,,,,,
"Nov 1977",878.11,,244.704,,,,,,,,,,,,,,,,,
"Dec 1977",875.98,,241.024,,,,,,,,,,,,,,,,,
"Jan 1978",871.90,,241.080,,,,,,,,,,,,,,,,,
"Feb 1978",860.68,,240.369,,,,,,,,,,,,,,,,,
"Mar 1978",855.32,,231.860,,,,,,,,,,,,,,,,,
"Apr 1978",858.89,,221.858,,,,,,,,,,,,,,,,,
"May 1978",870.52,,226.182,,,,,,,,,,,,,,,,,
"Jun 1978",859.58,,214.108,,,,,,,,,,,,,,,,,
"Jul 1978",847.17,,199.696,,,,,,,,,,,,,,,,,
"Aug 1978",836.73,,188.708,,,,,,,,,,,,,,,,,
"Sep 1978",829.92,,189.919,,,,,,,,,,,,,,,,,
"Oct 1978",811.98,,183.633,,,,,,,,,,,,,,,,,
"Nov 1978",843.47,,192.142,,,,,,,,,,,,,,,,,
"Dec 1978",843.04,,195.955,,,,,,,,,,,,,,,,,
"Jan 1979",836.51,,197.754,,,,,,,,,,,,,,,,,
"Feb 1979",840.42,,200.506,,,,,,,,,,,,,,,,,
"Mar 1979",841.19,,206.324,,,,,,,,,,,,,,,,,
"Apr 1979",843.32,,216.290,,,,,,,,,,,,,,,,,
"May 1979",851.54,,218.414,,,,,,,,,,,,,,,,,
"Jun 1979",845.57,,218.596,,,,,,,,,,,,,,,,,
"Jul 1979",820.27,,216.509,,,,,,,,,,,,,,,,,
"Aug 1979",818.41,,217.926,,,,,,,,,,,,,,,,,
"Sep 1979",811.31,,222.414,,,,,,,,,,,,,,,,,
"Oct 1979",825.76,,230.484,,,,,,,,,,,,,,,,,
"Nov 1979",825.62,,244.980,,,,,,,,,,,,,,,,,
"Dec 1979",811.08,,240.372,,,,,,,,,,,,,,,,,
"Jan 1980",804.74,,237.889,,,,,,,,,,,,,,,,,
"Feb 1980",810.00,,244.346,,,,,,,,,,,,,,,,,
"Mar 1980",860.13,,248.475,,,,,,,,,,,,,,,,,
"Apr 1980",876.41,,250.276,,,,,,,,,,,,,,,,,
"May 1980",843.24,,228.630,,,,,,,,,,,,,,,,,
"Jun 1980",835.19,,217.913,,,,,,,,,,,,,,,,,
"Jul 1980",831.56,,221.138,,,,,,,,,,,,,,,,,
"Aug 1980",847.46,,223.913,,,,,,,,,,,,,,,,,
"Sep 1980",851.66,,214.417,,,,,,,,,,,,,,,,,
"Oct 1980",874.29,,209.321,,,,,,,,,,,,,,,,,
"Nov 1980",909.13,,213.106,,,,,,,,,,,,,,,,,
"Dec 1980",934.41,,209.488,,,,,,,,,,,,,,,,,
"Jan 1981",954.94,,202.366,,,,,,,,,,,,,,,,,
"Feb 1981",1019.77,,205.715,,,,,,,,,,,,,,,,,
"Mar 1981",1031.30,,208.794,,,,,,,,,,,,,,,,,
"Apr 1981",1077.74,,214.977,,,,,,,,,,,,,,,,,
"May 1981",1141.08,,220.631,,,,,,,,,,,,,,,,,
"Jun 1981",1185.49,,224.177,,,,,,,,,,,,,,,,,
"Jul 1981",1214.64,,232.329,,,,,,,,,,,,,,,,,
"Aug 1981",1244.18,,233.325,,,,,,,,,,,,,,,,,
"Sep 1981",1187.60,,229.478,,,,,,,,,,,,,,,,,
"Oct 1981",1194.30,,231.519,,,,,,,,,,,,,,,,,
"Nov 1981",1191.59,,223.126,,,,,,,,,,,,,,,,,
"Dec 1981",1206.34,,218.950,,,,,,,,,,,,,,,,,
"Jan 1982",1228.22,,224.803,,,,,,,,,,,,,,,,,
