"MMM YYYY","RON/USD","RUB/USD","SAR/USD","XAG/USD","SGD/USD","SKK/USD","SIT/USD","ZAR/USD","KRW/USD","ESP/USD","XDR/USD","LKR/USD","SDD/USD","SEK/USD","CHF/USD","TWD/USD","THB/USD","TTD/USD","TND/USD","TRY/USD"
"Jan 1971",,,,,,,,,,,,,,5.1639,4.3053,,,,,
"Feb 1971",,,,,,,,,,,,,,5.1721,4.2981,,,,,
"Mar 1971",,,,,,,,,,,,,,5.1622,4.3003,,,,,
"Apr 1971",,,,,,,,,,,,,,5.1630,4.2986,,,,,
"May 1971",,,,,,,,,,,,,,5.1676,4.1241,,,,,
"Jun 1971",,,,,,,,,,,,,,5.1623,4.0938,,,,,
"Jul 1971",,,,,,,,,,,,,,5.1630,4.0946,,,,,
"Aug 1971",,,,,,,,,,,,,,5.1292,4.0306,,,,,
"Sep 1971",,,,,,,,,,,,,,5.0679,3.9812,,,,,
"Oct 1971",,,,,,,,,,,,,,5.0230,3.9751,,,,,
"Nov 1971",,,,,,,,,,,,,,5.0022,3.9835,,,,,
"Dec 1971",,,,,,,,,,,,,,4.8935,3.9041,,,,,
"Jan 1972",,,,,,,,,,,,,,4.8241,3.8923,,,,,
"Feb 1972",,,,,,,,,,,,,,4.7961,3.8612,,,,,
"Mar 1972",,,,,,,,,,,,,,4.7714,3.8568,,,,,
"Apr 1972",,,,,,,,,,,,,,4.7829,3.8509,,,,,
"May 1972",,,,,,,,,,,,,,4.7541,3.8605,,,,,
"Jun 1972",,,,,,,,,,,,,,4.7395,3.7997,,,,,
"Jul 1972",,,,,,,,,,,,,,4.7318,3.7650,,,,,
"Aug 1972",,,,,,,,,,,,,,4.7255,3.7809,,,,,
"Sep 1972",,,,,,,,,,,,,,4.7282,3.7874,,,,,
"Oct 1972",,,,,,,,,,,,,,4.7442,3.7977,,,,,
"Nov 1972",,,,,,,,,,,,,,4.7448,3.7956,,,,,
"Dec 1972",,,,,,,,,,,,,,4.7436,3.7700,,,,,
"Jan 1973",,,,,,,,,,63.473,,,,4.7407,3.7293,,,,,
"Feb 1973",,,,,,,,,,61.221,,,,4.5620,3.4170,,,,,
"Mar 1973",,,,,,,,,,58.197,,,,4.4307,3.2171,,,,,
"Apr 1973",,,,,,,,,,58.083,,,,4.5118,3.2406,,,,,
"May 1973",,,,,,,,,,58.059,,,,4.4330,3.1728,,,,,
"Jun 1973",,,,,,,,,,58.042,,,,4.2128,3.0532,,,,,
"Jul 1973",,,,,,,,,,57.525,,,,4.0442,2.8234,,,,,
"Aug 1973",,,,,,,,,,56.973,,,,4.1556,2.9734,,,,,
"Sep 1973",,,,,,,,,,56.786,,,,4.2071,3.0170,,,,,
"Oct 1973",,,,,,,,,,56.898,,,,4.1771,3.0289,,,,,
"Nov 1973",,,,,,,,,,57.213,,,,4.3471,3.1647,,,,,
"Dec 1973",,,,,,,,,,56.913,,,,4.5393,3.2000,,,,,
"Jan 1974",,,,,,,,,,58.136,,,,4.8137,3.3644,,,,,
"Feb 1974",,,,,,,,,,59.057,,,,4.6797,3.1763,,,,,
"Mar 1974",,,,,,,,,,59.079,,,,4.5639,3.0788,,,,,
"Apr 1974",,,,,,,,,,58.550,,,,4.3999,3.0270,,,,,
"May 1974",,,,,,,,,,57.441,,,,4.2766,2.9172,,,,,
"Jun 1974",,,,,,,,,,57.308,,,,4.3695,2.9899,,,,,
"Jul 1974",,,,,,,,,,57.061,,,,4.3740,2.9642,,,,,
"Aug 1974",,,,,,,,,,57.254,,,,4.4260,2.9846,,,,,
"Sep 1974",,,,,,,,,,57.672,,,,4.4780,2.9967,,,,,
"Oct 1974",,,,,,,,,,57.336,,,,4.3950,2.8966,,,,,
"Nov 1974",,,,,,,,,,57.072,,,,4.3148,2.7503,,,,,
"Dec 1974",,,,,,,,,,56.449,,,,4.1848,2.6028,,,,,
"Jan 1975",,,,,,,,,,56.182,,,,4.0406,2.5278,,,,,
"Feb 1975",,,,,,,,,,56.234,,,,3.9762,2.4731,,,,,
"Mar 1975",,,,,,,,,,55.844,,,,3.9242,2.4835,,,,,
"Apr 1975",,,,,,,,,,56.321,,,,3.9728,2.5589,,,,,
"May 1975",,,,,,,,,,55.957,,,,3.9335,2.5096,,,,,
"Jun 1975",,,,,,,,,,55.797,,,,3.9165,2.4946,,,,,
"Jul 1975",,,,,,,,,,57.326,,,,4.1330,2.6142,,,,,
"Aug 1975",,,,,,,,,,58.343,,,,4.3147,2.6787,,,,,
"Sep 1975",,,,,,,,,,59.130,,,,4.4447,2.7099,,,,,
"Oct 1975",,,,,,,,,,59.231,,,,4.3928,2.6631,,,,,
"Nov 1975",,,,,,,,,,59.282,,,,4.3883,2.6538,,,,,
"Dec 1975",,,,,,,,,,59.648,,,,4.4083,2.6337,,,,,
"Jan 1976",,,,,,,,,,59.697,,,,4.3800,2.6030,,,,,
"Feb 1976",,,,,,,,,,64.560,,,,4.3748,2.5700,,,,,
