"MMM YYYY","AED/USD","VEB/USD","ZMK/USD"
"Nov 1995",,169.28,
"Dec 1995",,233.74,
"Jan 1996",,289.41,
"Feb 1996",,289.70,
"Mar 1996",,289.38,
"Apr 1996",,355.18,
"May 1996",,467.23,
"Jun 1996",,470.82,
"Jul 1996",,469.56,
"Aug 1996",,473.60,
"Sep 1996",,474.72,
"Oct 1996",,469.14,
"Nov 1996",,470.43,1275.0
"Dec 1996",,474.00,1279.4
"Jan 1997",,475.78,1289.9
"Feb 1997",,473.43,1292.6
"Mar 1997",,477.47,1290.8
"Apr 1997",,478.54,1292.7
"May 1997",,482.74,1294.5
"Jun 1997",,484.85,1301.5
"Jul 1997",,491.38,1311.1
"Aug 1997",,494.97,1319.3
"Sep 1997",,495.96,1318.9
"Oct 1997",,497.82,1325.8
"Nov 1997",,499.28,1354.1
"Dec 1997",,502.08,1401.6
"Jan 1998",,506.95,1467.5
"Feb 1998",,514.59,1537.3
"Mar 1998",,520.67,1636.4
"Apr 1998",,530.29,1770.3
"May 1998",,536.46,1874.3
"Jun 1998",,542.73,1909.0
"Jul 1998",,557.66,1940.5
"Aug 1998",3.6747,571.26,1944.9
"Sep 1998",3.6719,582.91,1973.2
"Oct 1998",3.6758,569.75,2030.2
"Nov 1998",3.6741,568.67,2139.8
"Dec 1998",3.6739,565.63,2195.1
"Jan 1999",3.6718,569.27,2194.6
"Feb 1999",3.6733,576.55,2195.3
"Mar 1999",3.6749,579.48,2239.9
"Apr 1999",3.6746,587.33,2377.2
"May 1999",3.6715,595.90,2454.7
"Jun 1999",3.6710,602.60,2480.1
"Jul 1999",3.6760,610.55,2472.9
"Aug 1999",3.6714,615.42,2385.8
"Sep 1999",3.6735,624.70,2360.0
"Oct 1999",3.6735,630.17,2434.6
"Nov 1999",3.6729,634.33,2538.0
"Dec 1999",3.6738,643.49,2700.6
"Jan 2000",3.6751,652.46,2750.8
"Feb 2000",3.6752,659.06,2808.1
"Mar 2000",3.6733,666.38,2806.8
